"customer_purchase","date_time","payment_type","customer_ID","purchase_ID","order_ID"
"Rebels Without Time Hosea Lockie $35","October 12, 2022 11:20AM","Credit","3","3","3"
"Thieves And Gangsters Jerry Holt $10","December 10, 2022 9:00AM","Cash","5","5","5"
"Heirs And Descendants Henry Losi $45","February 10, 2022 12:00AM","Credit","6","6","6"
"Obliteration Of The Frontline Richard Black $30","January 11, 2022 10:10AM","Credit","7","7","7"
"Termination Of The Gods Yusef Vark $40","March 12, 2022 9:20AM","Credit","8","8","8"
"Sounds In The Mist Gino Belah $20","October 20, 2022 3:00AM","Credit","9","9","9"
"Searching In My School Harry Styles $25","December 11, 2022 4:00AM","Cash","10","10","10"
"Companion Of The Void Vladmir Purin $20","February 19, 2022 2:00AM","Credit","11","11","11"
"Robot Of The Nation Robert Stark $30","January 19, 2022 11:11AM","Credit","12","12","12"
"Warriors Of Greatness Jon Snow $25","March 15, 2022 8:20AM","Credit","13","13","13"
"Rats Of Hope James Hope $45","June 20, 2022 1:00AM","Credit","14","14","14"
"Bandits And Vultures Clark Kent $30","September 11, 2022 4:00PM","Cash","15","15","15"
"Lions And Horses Lionel Henderson $50","July 10, 2022 12:05AM","Credit","16","16","16"
"Means Of Fortune Flores Kason $40","January 23, 2022 10:40PM","Credit","17","17","17"
"Union Of Insanity Finn Wolfhard $50","March 1, 2022 4:20AM","Credit","18","18","18"
"Preparing For The Ocean Bob Rolly $30","August 20, 2022 6:00PM","Credit","19","19","19"
"Listening To The Future Harp Fisher $50","May 11, 2022 1:00AM","Cash","20","20","20"
"Fly high","February 9, 2022 11:00AM","credit","5","754","754"
